code;parameter;unit;product;element;method1;method2;data_type;value_min;value_max;explanation;enum;options
A_CACO3_IF;Carbonated Lime;%;A;CACO3;IF;"";num;0.1;50;"";FALSE;""
A_CEC_CO;Cation Exchange Capacity;mmol+/kg;A;CEC;CO;"";num;1;1000;"";FALSE;""
A_CLAY_MI;Clay content;%;A;CLAY;MI;"";num;0.1;75;"";FALSE;""
A_C_OF;Organic Carbon Content;g / kg;A;C;OF;"";num;0.1;600;"";FALSE;""
A_DENSITY;;;;;;;;;;;;
A_DEPTH;Depth of the soil layer;m;A;DEPTH;"";"";num;0;2;"";FALSE;""
A_H20_T105;;;;;;;;;;;;
A_N_RT;Total nitrogen content;mg N/ kg;A;N;RT;"";num;1;30000;"";FALSE;""
A_PH_CC;Acidity in CaCl2;-;A;PH;CC;"";num;3;10;"";FALSE;""
A_PH_WA;Acidity in water;-;A;PH;WA;"";num;3;10;"";FALSE;""
A_SAND_M50;Particle size of the mass median of the sandfraction (50-2000µm);µm;A;SAND;M50;"";num;50;2000;"";FALSE;""
A_SAND_MI;Sand content;%;A;SAND;MI;"";num;0.1;100;"";FALSE;""
A_SILT_MI;Silt content;%;A;SILT;MI;"";num;0.1;100;"";FALSE;""
A_SOM_LOI;Organic matter content;%;A;SOM;LOI;"";num;0.5;75;"";FALSE;""
B_ALTITUDE;;;;;;;;;;;;
B_ROCKS_FR;;;;;;;;;;;;
B_SLOPE_ASPECT;;;;;;;;;;;;
B_SLOPE_DEGREE;Slope of the field;degrees;B;SLOPE;DEGREE;"";num;0;30;"";FALSE;""
D_BDS;Bulk density;kg / m3;D;BDS;"";"";num;100;1900;"";FALSE;""
